,Instrument,GICS Sector Name,3 Month Total Return,6 Month Total Return,52 Week Total Return,Beta
171,XEL.OQ,Utilities,0.14679826989683098,-12.509457553531599,-6.35396474944347,0.12149971322254802
172,IDXX.OQ,Health Care,12.061759355861199,45.530012775429704,41.80822599537171,0.69819552510259
173,LB.N,Consumer Discretionary,-9.761498877922,-35.4747032376089,-25.207214954830604,0.788049249795848
174,PCAR.OQ,Industrials,-3.7958856614073198,-6.7103892814406505,1.36965703249243,1.2241677494069099
175,PSA.N,Real Estate,10.6739769870746,3.13427635374122,4.07848661095236,0.33185202816965803
176,PVH.N,Consumer Discretionary,13.393031304811402,20.4789489636354,53.7000104266305,0.759971977265008
177,KO.N,Consumer Staples,1.9345832169880501,-2.76817815875448,0.7233120831253491,0.753472966288175
178,HRL.N,Consumer Staples,10.0149893027466,0.12237654701488002,9.66487943600225,0.412981381293543
179,TEL.N,Information Technology,-4.83032048294122,3.77848921060717,28.05115490346,1.1015051116361498
180,JPM.N,Financials,-5.90066065718433,2.69172567062417,27.891215272638195,1.17695053897201
181,GE.N,Industrials,-6.54596114324373,-23.5449144670407,-52.548490623679896,0.9993161106881858
182,FLS.N,Industrials,-6.509590904474161,0.060596114429012,-12.457737885162699,1.41767433226378
183,CDW.OQ,Information Technology,14.824457612425,25.5563086764632,39.5565946455609,1.09894571588004
184,BDX.N,Health Care,3.91154821466,5.526753521972541,23.0393887323979,1.14914113320817
185,MMC.N,Financials,-1.3558305572392,-0.019917914306944,4.48182839919187,0.940192064044425
186,WELL.N,Real Estate,8.64735570226598,-11.3622217890077,-19.5488069706904,0.23176462010748003
187,MSFT.OQ,Information Technology,6.77732339157362,16.3246869965524,45.828829091708606,1.02465004819471
188,VFC.N,Consumer Discretionary,13.5503853374277,14.74392622714,53.561117031433795,0.953922147152464
189,GPN.N,Information Technology,-0.5921844414389361,16.552533526026,31.260568147396604,1.10700817439675
190,MRK.N,Health Care,13.146904468115801,12.1287867400933,1.72106858197121,0.7931198824084019
191,PG.N,Consumer Staples,-0.698547368831226,-14.334710748992698,-10.852597539221499,0.594815000667925
192,FANG.OQ,Energy,-7.153007619656901,5.63125686044317,36.311243683591705,0.708394912246251
193,UNP.N,Industrials,8.43563465750554,13.752596698696198,34.876412461631105,0.79505423412974
194,FB.OQ,Communication Services,6.52126618579216,8.69685870222381,30.0119490226189,0.8517829483518641
195,PXD.N,Energy,10.6897588038199,18.3186364879509,16.1445396730184,0.90289453190258
196,RE.N,Financials,-12.129052799848,3.1354476981085004,-9.40290103603117,0.46271551203448497
197,CTXS.OQ,Information Technology,12.0025136169277,22.1752542006712,33.8088088071909,1.26164488872793
198,TSN.N,Consumer Staples,-2.17103287492032,-10.9003203649793,18.3997271417287,0.206722855588063
199,KSU.N,Industrials,3.91608740821614,0.213346375358503,7.46417797220573,0.7848620617004458
200,WMT.N,Consumer Staples,-3.75231238299402,-12.7540876636134,13.9064728839148,0.542874227315818
201,NVR.N,Consumer Discretionary,5.125130483504759,-6.36256373411098,30.1761375835177,0.613986602574301
202,IFF.N,Materials,-8.74865218459745,-17.3405798594341,-4.40465329029539,1.06449590076692
203,KLAC.OQ,Information Technology,-5.975720687168441,8.12679548627602,18.346207048679,1.50188539777853
204,MTB.N,Financials,-7.764216710691559,3.12567599508116,10.0473062902396,0.901948519227011
205,HBAN.OQ,Financials,-3.08174802499016,6.62337185861714,19.222192027506,1.3445301562923997
206,DLR.N,Real Estate,1.8097514432206898,-5.41400947720515,-5.68913714796968,0.036931889626157996
207,MTD.N,Health Care,-4.04509391980241,-7.9601212632972596,0.275801011324028,1.17297172223406
208,CB.N,Financials,-6.74032196822967,-11.1140793464905,-9.541325108493089,1.01933867959322
209,PEP.OQ,Consumer Staples,-3.022061108362,-8.22495452098351,-5.06563085621409,0.726083086931902
210,ABMD.OQ,Health Care,50.58559935441421,135.059085371032,209.35211660862998,0.22261589496982298
211,MCK.N,Health Care,-2.33871996223338,-7.317417144098839,-5.27512057509401,1.28518212101288
212,EVRG.N,Utilities,6.077945249171799,-2.71465941110882,1.4017928218814901,0.32660404446438895
