,0,TR.GICSSECTOR,"TR.NETPROFITMEAN(Period=FY2,SDate=2020-03-16)","TR.EBITDAREPORTEDMEAN(Period=FY2,SDate=2020-03-16)","TR.EBITMEAN(Period=FY2,SDate=2020-03-16)","TR.TOTALEQUITY(Period=FY0,SDate=2020-03-16)",TR.COMPANYMARKETCAP(SDate=2020-03-16),TR.EV(SDate=2020-03-16)
195,PXD.N,,,,,,,
196,RE.N,,,,,,,
197,CTXS.OQ,,,,,,,
198,TSN.N,,,,,,,
199,KSU.N,,,,,,,
200,WMT.N,,,,,,,
201,NVR.N,,,,,,,
202,IFF.N,,,,,,,
203,KLAC.OQ,,,,,,,
204,MTB.N,,,,,,,
205,HBAN.OQ,,,,,,,
206,DLR.N,,,,,,,
207,MTD.N,,,,,,,
208,CB.N,,,,,,,
209,PEP.OQ,,,,,,,
210,ABMD.OQ,,,,,,,
211,MCK.N,,,,,,,
212,EVRG.N,,,,,,,
213,MMM.N,,,,,,,
214,MAA.N,,,,,,,
215,WM.N,,,,,,,
216,AJG.N,,,,,,,
217,WHR.N,,,,,,,
218,RTX.N,,,,,,,
219,HSY.N,,,,,,,
220,CMG.N,,,,,,,
221,ORCL.N,,,,,,,
222,COST.OQ,,,,,,,
223,VIAC.OQ,,,,,,,
224,TDY.N,,,,,,,
225,ED.N,,,,,,,
226,STX.OQ,,,,,,,
227,APH.N,,,,,,,
228,WAB.N,,,,,,,
229,PNC.N,,,,,,,
230,FE.N,,,,,,,
231,CCL.N,,,,,,,
232,HLT.N,,,,,,,
233,MCHP.OQ,,,,,,,
234,AZO.N,,,,,,,
235,WAT.N,,,,,,,
236,WRK.N,,,,,,,
237,CINF.OQ,,,,,,,
238,FTV.N,,,,,,,
239,TJX.N,,,,,,,
240,NSC.N,,,,,,,
241,LRCX.OQ,,,,,,,
242,KMX.N,,,,,,,
243,MHK.N,,,,,,,
244,KEY.N,,,,,,,
245,BA.N,,,,,,,
246,FOXA.OQ,,,,,,,
247,J.N,,,,,,,
248,AVY.N,,,,,,,
249,LLY.N,,,,,,,
250,SIVB.OQ,,,,,,,
251,CTVA.N,,,,,,,
252,CXO.N^A21,,,,,,,
253,LUV.N,,,,,,,
254,GILD.OQ,,,,,,,
255,ES.N,,,,,,,
256,V.N,,,,,,,
257,ITW.N,,,,,,,
258,GPS.N,,,,,,,
259,PBCT.OQ,,,,,,,
260,ABT.N,,,,,,,
261,CPRI.N,,,,,,,
262,AXP.N,,,,,,,
263,SPG.N,,,,,,,
264,JNJ.N,,,,,,,
265,ULTA.OQ,,,,,,,
266,ZBH.N,,,,,,,
267,LW.N,,,,,,,
268,UNM.N,,,,,,,
269,GS.N,,,,,,,
270,ADP.OQ,,,,,,,
271,CMS.N,,,,,,,
272,WY.N,,,,,,,
273,CBOE.Z,,,,,,,
274,O.N,,,,,,,
275,ROP.N,,,,,,,
276,FDX.N,,,,,,,
277,AMCR.N,,,,,,,
278,XRAY.OQ,,,,,,,
279,MLM.N,,,,,,,
280,KMI.N,,,,,,,
281,HBI.N,,,,,,,
282,AEP.OQ,,,,,,,
283,AVB.N,,,,,,,
284,INTC.OQ,,,,,,,
285,DRI.N,,,,,,,
286,LKQ.OQ,,,,,,,
287,ABBV.N,,,,,,,
288,ATO.N,,,,,,,
289,PRU.N,,,,,,,
290,KEYS.N,,,,,,,
291,SRE.N,,,,,,,
292,C.N,,,,,,,
293,L.N,,,,,,,
294,ALK.N,,,,,,,
295,TGT.N,,,,,,,
296,LDOS.N,,,,,,,
297,ICE.N,,,,,,,
298,INFO.N,,,,,,,
299,MSI.N,,,,,,,
300,STZ.N,,,,,,,
301,VNT.N,,,,,,,
302,AIG.N,,,,,,,
303,SCHW.N,,,,,,,
304,IQV.N,,,,,,,
305,DE.N,,,,,,,
306,DFS.N,,,,,,,
307,BBY.N,,,,,,,
308,DG.N,,,,,,,
309,EXC.OQ,,,,,,,
310,MNST.OQ,,,,,,,
311,AMD.OQ,,,,,,,
312,KMB.N,,,,,,,
313,WRB.N,,,,,,,
314,TFX.N,,,,,,,
315,F.N,,,,,,,
316,HWM.N,,,,,,,
317,D.N,,,,,,,
318,CFG.N,,,,,,,
319,ANET.N,,,,,,,
320,MCO.N,,,,,,,
321,MPC.N,,,,,,,
322,DHI.N,,,,,,,
323,TFC.N,,,,,,,
324,AES.N,,,,,,,
325,ODFL.OQ,,,,,,,
326,MOS.N,,,,,,,
327,ETR.N,,,,,,,
328,NCLH.N,,,,,,,
329,COF.N,,,,,,,
330,QRVO.OQ,,,,,,,
331,A.N,,,,,,,
332,JKHY.OQ,,,,,,,
333,AVGO.OQ,,,,,,,
334,MET.N,,,,,,,
335,CAH.N,,,,,,,
336,DRE.N,,,,,,,
337,ARE.N,,,,,,,
338,BK.N,,,,,,,
339,NUE.N,,,,,,,
340,DUK.N,,,,,,,
341,UPS.N,,,,,,,
342,SO.N,,,,,,,
343,SYK.N,,,,,,,
344,BSX.N,,,,,,,
345,UA.N,,,,,,,
346,CME.OQ,,,,,,,
347,SWK.N,,,,,,,
348,PH.N,,,,,,,
349,RL.N,,,,,,,
350,CARR.N,,,,,,,
351,PNR.N,,,,,,,
352,POOL.OQ,,,,,,,
353,ROK.N,,,,,,,
354,VRSK.OQ,,,,,,,
355,STT.N,,,,,,,
356,FOX.OQ,,,,,,,
357,IT.N,,,,,,,
358,SYY.N,,,,,,,
359,USB.N,,,,,,,
360,AWK.N,,,,,,,
361,MAS.N,,,,,,,
362,VRTX.OQ,,,,,,,
363,SNA.N,,,,,,,
364,PKI.N,,,,,,,
365,NLOK.OQ,,,,,,,
366,OKE.N,,,,,,,
367,CMI.N,,,,,,,
368,GPC.N,,,,,,,
369,ADI.OQ,,,,,,,
370,FMC.N,,,,,,,
371,PM.N,,,,,,,
372,CLX.N,,,,,,,
373,ISRG.OQ,,,,,,,
374,NVDA.OQ,,,,,,,
375,BWA.N,,,,,,,
376,HCA.N,,,,,,,
377,AEE.N,,,,,,,
378,TYL.N,,,,,,,
379,BKNG.OQ,,,,,,,
380,AAP.N,,,,,,,
381,GWW.N,,,,,,,
382,LEN.N,,,,,,,
383,MXIM.OQ,,,,,,,
384,MO.N,,,,,,,
385,OTIS.N,,,,,,,
386,IVZ.N,,,,,,,
387,MDT.N,,,,,,,
388,PFE.N,,,,,,,
389,SYF.N,,,,,,,
390,XYL.N,,,,,,,
391,GOOGL.OQ,,,,,,,
392,KR.N,,,,,,,
393,INTU.OQ,,,,,,,
394,PSX.N,,,,,,,
395,MKC.N,,,,,,,
396,DAL.N,,,,,,,
397,CHTR.OQ,,,,,,,
398,CE.N,,,,,,,
399,HSIC.OQ,,,,,,,
400,AME.N,,,,,,,
401,ETN.N,,,,,,,
402,MKTX.OQ,,,,,,,
403,NWS.OQ,,,,,,,
404,STE.N,,,,,,,
405,IPGP.OQ,,,,,,,
406,DHR.N,,,,,,,
407,HPQ.N,,,,,,,
408,UAA.N,,,,,,,
409,PLD.N,,,,,,,
410,HII.N,,,,,,,
411,LUMN.N,,,,,,,
412,NTAP.OQ,,,,,,,
413,CAT.N,,,,,,,
414,CPB.N,,,,,,,
415,NEM.N,,,,,,,
416,PFG.OQ,,,,,,,
417,WST.N,,,,,,,
418,YUM.N,,,,,,,
419,HFC.N,,,,,,,
420,AMP.N,,,,,,,
421,UDR.N,,,,,,,
422,AMT.N,,,,,,,
423,HD.N,,,,,,,
424,LVS.N,,,,,,,
425,IP.N,,,,,,,
426,TROW.OQ,,,,,,,
427,GD.N,,,,,,,
428,TSCO.OQ,,,,,,,
429,FBHS.N,,,,,,,
430,COO.N,,,,,,,
431,DOV.N,,,,,,,
432,GLW.N,,,,,,,
433,CNP.N,,,,,,,
434,BKR.N,,,,,,,
435,RCL.N,,,,,,,
436,EOG.N,,,,,,,
437,VTRS.OQ,,,,,,,
438,URI.N,,,,,,,
439,DXCM.OQ,,,,,,,
440,GM.N,,,,,,,
441,VZ.N,,,,,,,
442,MU.OQ,,,,,,,
443,RMD.N,,,,,,,
444,NEE.N,,,,,,,
445,VLO.N,,,,,,,
446,FRT.N,,,,,,,
447,LIN.N,,,,,,,
448,AOS.N,,,,,,,
449,SBAC.OQ,,,,,,,
450,FTI.N,,,,,,,
451,RHI.N,,,,,,,
452,T.N,,,,,,,
453,KIM.N,,,,,,,
454,HIG.N,,,,,,,
455,VAR.N,,,,,,,
456,IEX.N,,,,,,,
457,CBRE.N,,,,,,,
458,IRM.N,,,,,,,
459,TWTR.N,,,,,,,
460,DIS.N,,,,,,,
461,MA.N,,,,,,,
462,EXPD.OQ,,,,,,,
463,BAX.N,,,,,,,
464,ROL.N,,,,,,,
465,CTSH.OQ,,,,,,,
466,FISV.OQ,,,,,,,
467,PPG.N,,,,,,,
468,LYV.N,,,,,,,
469,TPR.N,,,,,,,
470,EMN.N,,,,,,,
471,BLL.N,,,,,,,
472,VMC.N,,,,,,,
473,ACN.N,,,,,,,
474,OMC.N,,,,,,,
475,ADM.N,,,,,,,
476,EIX.N,,,,,,,
477,NWL.OQ,,,,,,,
478,LH.N,,,,,,,
479,UHS.N,,,,,,,
480,WU.N,,,,,,,
481,DVA.N,,,,,,,
482,RSG.N,,,,,,,
483,HUM.N,,,,,,,
484,WMB.N,,,,,,,
485,LYB.N,,,,,,,
486,AMZN.OQ,,,,,,,
487,CRM.N,,,,,,,
488,TRV.N,,,,,,,
489,AAPL.OQ,,,,,,,
490,CVS.N,,,,,,,
491,CL.N,,,,,,,
492,ETSY.OQ,,,,,,,
493,JCI.N,,,,,,,
494,CHD.N,,,,,,,
495,EXPE.OQ,,,,,,,
496,COP.N,,,,,,,
497,SNPS.OQ,,,,,,,
498,CF.N,,,,,,,
499,ALXN.OQ,,,,,,,
500,CI.N,,,,,,,
501,FIS.N,,,,,,,
502,FTNT.OQ,,,,,,,
503,TXN.OQ,,,,,,,
504,CTAS.OQ,,,,,,,
